case_id,event_title,gold_theme,primary_theme_name,wrong_subject_key,wrong_theme_name,confidence,match_reason,hit_terms,hit_term_roles,anchor_hits,support_hits,role_guard_blocked,evidence_summary
pm_case_0022,,AI/AR眼镜,AR眼镜,9036559,ASIC芯片,0.6511,top_candidate_evidence_related,芯片|Meta,Meta:main_anchor|芯片:main_anchor,芯片|Meta,,False,"{""anchor_terms"": [""芯片"", ""Meta""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芯片""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0025,,AI/AR眼镜,AR眼镜,9011554,游戏,0.5969,top_candidate_evidence_related,游戏,游戏:main_anchor,游戏,,False,"{""anchor_terms"": [""游戏""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""游戏""], ""subject_name_hits"": [""游戏""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0040,,SpaceX,9060949,9062206,马斯克四大产业,0.6647,top_candidate_evidence_related,SpaceX|星舰|商业航天,SpaceX:main_anchor|星舰:main_anchor|商业航天:main_anchor,SpaceX|星舰|商业航天,,False,"{""anchor_terms"": [""SpaceX"", ""星舰"", ""商业航天""], ""support_terms"": [""星舰""], ""conflict_terms"": [], ""theme_name_hits"": [""SpaceX""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0061,,稀土永磁,中美芬太尼合作,9042899,芬太尼,0.5873,top_candidate_evidence_related,芬太尼,芬太尼:main_anchor,芬太尼,,False,"{""anchor_terms"": [""芬太尼""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芬太尼""], ""subject_name_hits"": [""芬太尼""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0067,,海洋经济,工业智能体,9014573,港口,0.6018,top_candidate_evidence_related,港口|国际|应用规模,国际:support|港口:main_anchor|应用规模:support,港口,应用规模,False,"{""anchor_terms"": [""港口""], ""support_terms"": [""国际""], ""conflict_terms"": [], ""theme_name_hits"": [""港口""], ""subject_name_hits"": [""港口""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0070,,光刻胶,光刻胶,9013944,半导体,0.6010,top_candidate_evidence_related,半导体|PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,PC:support|代工:support|手机:support|半导体:main_anchor|WiFi芯片:support|先进制程:support|功率芯片:support|汽车电子:support|消费类电子:support|模拟器件芯片:support|生物识别芯片:support|电源控制芯片:support,半导体,PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,False,"{""anchor_terms"": [""半导体""], ""support_terms"": [""半导体""], ""conflict_terms"": [], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0074,,光刻胶,光刻胶,9013944,半导体,0.6081,top_candidate_evidence_related,半导体|PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,PC:support|代工:support|手机:support|半导体:main_anchor|WiFi芯片:support|先进制程:support|功率芯片:support|汽车电子:support|消费类电子:support|模拟器件芯片:support|生物识别芯片:support|电源控制芯片:support,半导体,PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,False,"{""anchor_terms"": [""半导体""], ""support_terms"": [""半导体""], ""conflict_terms"": [], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0076,,光刻胶,光刻胶,9013944,半导体,0.6131,top_candidate_evidence_related,半导体|PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,PC:support|代工:support|手机:support|半导体:main_anchor|WiFi芯片:support|先进制程:support|功率芯片:support|汽车电子:support|消费类电子:support|模拟器件芯片:support|生物识别芯片:support|电源控制芯片:support,半导体,PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,False,"{""anchor_terms"": [""半导体""], ""support_terms"": [""半导体""], ""conflict_terms"": [], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0077,,光刻胶,半导体设备,9013944,半导体,0.6143,top_candidate_evidence_related,半导体|PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,PC:support|代工:support|手机:support|半导体:main_anchor|WiFi芯片:support|先进制程:support|功率芯片:support|汽车电子:support|消费类电子:support|模拟器件芯片:support|生物识别芯片:support|电源控制芯片:support,半导体,PC|消费类电子|手机|汽车电子|先进制程|代工|生物识别芯片|模拟器件芯片|WiFi芯片|功率芯片|电源控制芯片,False,"{""anchor_terms"": [""半导体""], ""support_terms"": [""半导体""], ""conflict_terms"": [], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0079,,卫星互联,卫星互联网,9060949,9060949,0.6600,top_candidate_evidence_related,卫星互联网|商业航天,商业航天:main_anchor|卫星互联网:main_anchor,卫星互联网|商业航天,,False,"{""anchor_terms"": [""卫星互联网"", ""商业航天""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""卫星互联网""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0079,,卫星互联,卫星互联网,9061804,航天发射场,0.6562,top_candidate_evidence_related,航天发射场|海南商业航天发射场|商业航天,商业航天:main_anchor|航天发射场:main_anchor|海南商业航天发射场:main_anchor,航天发射场|海南商业航天发射场|商业航天,,False,"{""anchor_terms"": [""航天发射场"", ""海南商业航天发射场"", ""商业航天""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""航天发射场"", ""海南商业航天发射场""], ""subject_name_hits"": [""航天发射场""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0079,,卫星互联,卫星互联网,9064166,SpaceX,0.6446,top_candidate_evidence_related,卫星互联网|商业航天,商业航天:main_anchor|卫星互联网:main_anchor,商业航天|卫星互联网,,False,"{""anchor_terms"": [""卫星互联网"", ""商业航天""], ""support_terms"": [""卫星互联网""], ""conflict_terms"": [], ""theme_name_hits"": [], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0079,,卫星互联,卫星互联网,9062419,广州商业航天,0.6425,top_candidate_evidence_related,商业航天|运载火箭,商业航天:main_anchor|运载火箭:main_anchor,商业航天|运载火箭,,False,"{""anchor_terms"": [""商业航天"", ""运载火箭""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0079,,卫星互联,卫星互联网,9061851,商业航天8大IPO,0.6362,top_candidate_evidence_related,商业航天|运载火箭,商业航天:main_anchor|运载火箭:main_anchor,商业航天|运载火箭,,False,"{""anchor_terms"": [""商业航天"", ""运载火箭""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0083,,卫星互联,蓝箭航天IPO,9061851,商业航天8大IPO,0.6412,top_candidate_evidence_related,商业航天|运载火箭,商业航天:main_anchor|运载火箭:main_anchor,商业航天|运载火箭,,False,"{""anchor_terms"": [""商业航天"", ""运载火箭""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0083,,卫星互联,蓝箭航天IPO,9062419,广州商业航天,0.6411,top_candidate_evidence_related,商业航天|运载火箭|航天商业化应用,商业航天:main_anchor|运载火箭:main_anchor|航天商业化应用:support,商业航天|运载火箭,航天商业化应用,False,"{""anchor_terms"": [""商业航天"", ""运载火箭""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0086,,卫星互联,卫星互联网,9037857,数据中心,0.6056,top_candidate_evidence_related,数据中心,数据中心:main_anchor,数据中心,,False,"{""anchor_terms"": [""数据中心""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""数据中心""], ""subject_name_hits"": [""数据中心""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0088,,液冷数据中心,人工智能硬件,9015778,存储芯片,0.5951,top_candidate_evidence_related,存储芯片|固态硬盘|2D平面技术|3D堆叠技术|存算一体技术|新型非易失性存储|个人电脑|服务器|移动设备|U盘|手机存储|混合键合|国产存储芯片,U盘:support|服务器:support|个人电脑:support|固态硬盘:support|存储芯片:main_anchor|手机存储:support|混合键合:support|移动设备:support|2D平面技术:support|3D堆叠技术:support|国产存储芯片:support|存算一体技术:support|新型非易失性存储:support,存储芯片,固态硬盘|2D平面技术|3D堆叠技术|存算一体技术|新型非易失性存储|个人电脑|服务器|移动设备|U盘|手机存储|混合键合|国产存储芯片,False,"{""anchor_terms"": [""存储芯片""], ""support_terms"": [""存储芯片""], ""conflict_terms"": [], ""theme_name_hits"": [""存储芯片""], ""subject_name_hits"": [""存储芯片""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0089,,液冷数据中心,液冷数据中心,9016139,服务器,0.6012,top_candidate_evidence_related,服务器,服务器:main_anchor,服务器,,False,"{""anchor_terms"": [""服务器""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""服务器""], ""subject_name_hits"": [""服务器""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0090,,液冷数据中心,液冷数据中心,9036559,ASIC芯片,0.6299,top_candidate_evidence_related,ASIC|芯片,ASIC:main_anchor|芯片:main_anchor,ASIC|芯片,,False,"{""anchor_terms"": [""ASIC"", ""芯片""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""ASIC"", ""芯片""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
pm_case_0097,,AI智能体Manus,AI智能体,9022415,多模态大模型,0.6283,top_candidate_evidence_related,文本|视频|AI音乐创作|AI视频创作,文本:main_anchor|视频:main_anchor|AI视频创作:support|AI音乐创作:support,文本|视频,AI音乐创作|AI视频创作,False,"{""anchor_terms"": [""文本"", ""视频""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""文本"", ""视频""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}"
