case_id,event_title,gold_theme,wrong_subject_key,wrong_theme_name,source_profile_version,evidence_summary,hit_terms,hit_term_roles,relation_assessment,root_cause,fix_action
pm_case_0010,2024年11月20日，云天励飞战略投资闪极科技 后者将推国内首款量产AI拍摄眼镜,AI/AR眼镜,9022889,著名IP,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0021,2024年9月3日，近日，行者X-lens AR骑行镜开售，该款骑行镜配备OLED微显示屏，支持触控交互，售价699元,AI/AR眼镜,9015387,显示面板,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0022,2024年8月29日，《科创板日报》29日讯，Meta此前计划打造自己的定制芯片，用于可穿戴消费设备系列，但由于公司持续努力控制成本，这一计划未能实施,AI/AR眼镜,9036559,ASIC芯片,v2,"{""anchor_terms"": [""芯片"", ""Meta""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芯片""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""芯片"", ""Meta""]","{""Meta"": ""main_anchor"", ""芯片"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0025,2024年8月20日，AR智能眼镜企业Rokid今日宣布，8月22日，《黑神话：悟空》AR体验将开启直播,AI/AR眼镜,9011554,游戏,v1_fallback,"{""anchor_terms"": [""游戏""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""游戏""], ""subject_name_hits"": [""游戏""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""游戏""]","{""游戏"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0029,2024年8月15日，有“国产版Vision Pro头显”之称的Vision SE，今年7月30日通过了新版本的3C认证，制造商为深圳市亿境虚拟现实技术有限公司,AI/AR眼镜,9022942,苹果MR,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0036,2025年12月25日，据报道，白宫考虑将部分联邦野生动物保护用地划拨给SpaceX用于扩建火箭发射与生产基地,SpaceX,9060949,9060949,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0037,2025年12月25日，据美国《空天部队》杂志网站12月19日报道，美国太空军下属的太空发展局当天宣布，向4家公司授予价值35亿美元的合同，用于采购总共72颗导,SpaceX,9030207,导弹,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0040,"2025年12月7日,针对商业航天龙头SpaceX“冲击8000亿美元估值，并瞄准明年IPO”的最新传闻，世界首富马斯克在北京时间周日凌晨公开回应",SpaceX,9060949,9060949,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0046,中金公司研报表示，十五五规划将可控核聚变明确纳入国家未来产业体系，标志着其从前沿科学探索正式升级为战略性科技攻关方向,可控核聚变,9017093,核电,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0047,《中国国家原子能机构和法国原子能和替代能源委员会第十五个和平利用核能合作议定书》中提及将加强核基础研究、核技术应用、核聚变技术等合作,可控核聚变,9034544,乌克兰重建,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
