标题,内容,发布日期,发布时间,news_id
CME“美联储观察”：美联储1月维持利率不变的概率为85.1%,【CME“美联储观察”：美联储1月维持利率不变的概率为85.1%】财联社1月2日电，据CME“美联储观察”：美联储1月降息25个基点的概率为14.9%，维持利率不变的概率为85.1%。到3月累计降息25个基点的概率为51.2%，维持利率不变的概率为42.8%，累计降息50个基点的概率为5.9%。,2026-01-02,06:12:23,d41d8cd98f00b204e9800998ecf8427e
库尔斯克2号核电站1号机组投运,【库尔斯克2号核电站1号机组投运】财联社1月2日电，俄罗斯库尔斯克2号核电站1号机组（采用VVER-TOI反应堆）已投入运行并接入俄罗斯统一电网。该机组计划于2026年大规模发电。,2026-01-02,06:15:55,d41d8cd98f00b204e9800998ecf8427e
周五你需要知道的隔夜全球要闻：OpenAI加码音频AI研发；美暂停对软体家具等再加关税；美对部分跨境汇款征收1%汇款税,"【周五你需要知道的隔夜全球要闻：OpenAI加码音频AI研发；美暂停对软体家具等再加关税；美对部分跨境汇款征收1%汇款税】
1、OpenAI整合团队加码音频人工智能研发，为推出首款人工智能驱动的个人硬件设备做准备。
2、Meta旗下短视频平台Reels据悉正寻求向电视领域转型。
3、美国总统特朗普签署文件，宣布推迟按照原计划继续提高对进口软体家具、厨房橱柜和浴室柜等产品的关税税率，以缓解物价持续上涨压力。
4、据美国财政部和美国国税局相关规定，自2026年1月1日起，汇款服务提供商需对符合条件的汇款交易代收1%的税款，并按规定申报缴纳。
5、美国特朗普政府此前宣布的新一轮入境限制措施于当地时间1月1日正式生效，相关限制同时适用于移民和非移民，涉及“全面限制”和“部分限制”两种类别。
6、美国《平价医疗法案》补贴于2025年年底到期，预计有超过2000万美国人在2026年伊始将面临更高的医保支出。
7、当地时间1月1日凌晨，美国纽约新任市长马姆达尼宣誓就职。
8、新加坡教育部近日宣布，自2026年1月开始，将在全国中学范围内实施更严格的智能手机和智能手表使用禁令。
9、瑞士一家酒吧发生火灾，已造成约40人死亡、115人受伤，瑞士联邦宫将降半旗五天。",2026-01-02,06:29:59,d41d8cd98f00b204e9800998ecf8427e
我国海上最大气田“深海一号”完成第100船原油外输,【我国海上最大气田“深海一号”完成第100船原油外输】财联社1月2日电，从中国海油获悉，我国海上最大气田“深海一号”近期完成投产以来的第100船原油外输工作，2025年气田年产油气量突破450万吨油当量，与陆地中型油田产量规模相当，标志着我国深海气田生产运维技术已经达到世界先进水平。 (央视新闻),2026-01-02,06:32:24,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，韩国生物制药企业Celltrion宣布，其美国子公司Celltrion USA已与礼来公司达成一项生产合作协议，合同总价值达4.73亿美元。,2026-01-02,07:02:34,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，2026年首个交易日，现货黄金跳空高开，报4331.95美元/盎司。现货白银向上触及72美元/盎司，日内上涨0.44%。,2026-01-02,07:03:06,d41d8cd98f00b204e9800998ecf8427e
百度：计划分拆昆仑芯并于港交所独立上市,【百度：计划分拆昆仑芯并于港交所独立上市】财联社1月2日电，百度港交所公告，1月1日，昆仑芯已透过其联席保荐人以保密形式向香港联交所提交上市申请表格（A1表格），以申请批准昆仑芯股份于香港联交所主板上市及买卖。目前的方案为建议分拆将通过昆仑芯股份的全球发售进行，包括：(i)昆仑芯股份于香港进行公开发售，以供香港公众人士认购；及(ii)向机构及专业投资者配售昆仑芯股份。于本公告日期，昆仑芯为本公司之非全资附属公司。建议分拆完成后，预计昆仑芯仍将为本公司之附属公司。,2026-01-02,07:06:54,d41d8cd98f00b204e9800998ecf8427e
周五（1月2日）重点关注财经事件和经济数据,"【周五（1月2日）重点关注财经事件和经济数据】
① 15:00 英国12月Nationwide房价指数环比；
② 16:50 法国12月制造业PMI终值；
③ 16:55 德国12月制造业PMI终值；
④ 17:00 欧元区12月制造业PMI终值；
⑤ 17:30 英国12月制造业PMI终值；
⑥ 22:45 美国12月标普全球制造业PMI终值。",2026-01-02,07:07:40,d41d8cd98f00b204e9800998ecf8427e
,"财联社1月2日电，澳大利亚S&P/ASX 200指数早盘下跌0.1%，报8,705.30点。",2026-01-02,07:14:50,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，三星电子首席执行官表示，三星HBM4展现差异化竞争力。,2026-01-02,07:19:16,d41d8cd98f00b204e9800998ecf8427e
俄称打击乌方目标 乌称袭击俄炼油设施,【俄称打击乌方目标 乌称袭击俄炼油设施】财联社1月2日电，据央视新闻，当地时间1月1日，俄罗斯国防部发布战报称，过去24小时，俄军对乌军以及乌能源设施、弹药库、无人机设施等实施了打击。俄军击落乌军一架苏-27战斗机，俄军防空系统拦截了1枚制导航空炸弹和250架乌军无人机。同一天，乌克兰武装部队总参谋部发布通告称，乌军当天凌晨对俄多处炼油设施实施打击。此外，乌军还袭击了顿涅茨克地区的俄军目标。据俄罗斯方面1月1日消息，乌克兰无人机当天袭击俄鞑靼斯坦共和国一处石油设施并引发火灾。火灾未影响设备正常运行。目前火已被扑灭，事件未造成人员伤亡。,2026-01-02,07:27:44,d41d8cd98f00b204e9800998ecf8427e
我国海上最大气田“深海一号”完成100船原油外输,【我国海上最大气田“深海一号”完成100船原油外输】财联社1月2日电，从中国海油获悉，我国海上最大气田“深海一号”近期完成投产以来的第100船原油外输工作，2025年气田年产油气量突破450万吨油当量，与陆地中型油田产量规模相当，标志着我国深海气田生产运维技术已经达到世界先进水平。 (央视新闻),2026-01-02,07:40:10,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，现货钯金上涨3%至每盎司1655.95美元。,2026-01-02,07:48:43,d41d8cd98f00b204e9800998ecf8427e
