case_id,event_title,gold_subject,actual_decision,actual_primary,actual_related,miss_type,root_cause,fix_action,candidate_1_name,candidate_1_key,candidate_1_rerank_score,candidate_2_name,candidate_2_key,candidate_2_rerank_score,candidate_3_name,candidate_3_key,candidate_3_rerank_score,candidate_4_name,candidate_4_key,candidate_4_rerank_score,candidate_5_name,candidate_5_key,candidate_5_rerank_score
pm_case_0003,2025年1月3日，1月3日电，美国专利及商标局官网显示，英伟达公开了一项AR眼镜专利（US20250004275A1），名为“无背光增强现实数字全息技术”,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2158,,,0.8099,,,0.6567,,,0.5864,,,0.5834
pm_case_0006,24日讯，鸿海宣布，将携手Porotech进军AR眼镜市场,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2668,,,1.07,,,1.0168,,,0.911,,,0.8722
pm_case_0008,2024年12月10日，10日讯，三星内部正积极推进名为Infinite的扩展现实（XR）项目，计划在明年1月召开的Galaxy Unpacked发布会上公开展,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,reasonable_human_review,no_fix_missing_clear_anchor,,,0.7284,,,0.7271,,,0.7213,,,0.7213,,,0.7211
pm_case_0010,2024年11月20日，云天励飞战略投资闪极科技 后者将推国内首款量产AI拍摄眼镜,AI/AR眼镜,MATCH,著名IP,(none),unknown,role_guard_overstrict,review_role_guard_for_this_subject,,,0.8277,,,0.746,,,0.7198,,,0.7187,,,0.7125
pm_case_0017,2024年9月18日，科技公司Snap在美国加利福尼亚州圣莫尼卡举办的2024Snap全球生态合作伙伴大会上，发布旗下第五代SpectaclesAR眼镜,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2455,,,0.8771,,,0.8504,,,0.8139,,,0.78
pm_case_0021,2024年9月3日，近日，行者X-lens AR骑行镜开售，该款骑行镜配备OLED微显示屏，支持触控交互，售价699元,AI/AR眼镜,MATCH,显示面板,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.856,,,0.8393,,,0.7356,,,0.5583,,,0.5439
pm_case_0023,2024年8月26日，小米已开发出一款AI眼镜，并将尽快推向市场,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2224,,,1.163,,,0.8044,,,0.6461,,,0.6259
pm_case_0024,消息面上，据媒体报道，北京多屏未来科技有限公司已于近日完成数百万美元的A轮融资,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2343,,,1.0226,,,1.0034,,,0.7855,,,0.7005
pm_case_0026,2024年8月19日，Rokid官微8月19日预告：9月7日空降北京，Rokid开发者沙龙暨新品体验会开启报名,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,reasonable_human_review,no_fix_missing_clear_anchor,,,0.5951,,,0.5562,,,0.4155,,,0.4149,,,
pm_case_0029,2024年8月15日，有“国产版Vision Pro头显”之称的Vision SE，今年7月30日通过了新版本的3C认证，制造商为深圳市亿境虚拟现实技术有限公司,AI/AR眼镜,MATCH,苹果MR,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.8691,,,0.698,,,0.6916,,,0.6815,,,0.6814
pm_case_0030,国家统计局：7月虚拟现实设备产品产量增长55.7%,AI/AR眼镜,UNKNOWN,(none),(none),unknown,matcher_recall_gap,review_dense_sparse_recall_for_subject,,,,,,,,,,,,,,,
pm_case_0032,2024年8月14日，**字节跳动旗下XR头显厂商PICO已经确认，其下一代头显产品将于2024年8月20日在国内发布,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,reasonable_human_review,no_fix_missing_clear_anchor,,,0.6667,,,0.6352,,,0.6263,,,0.5212,,,
pm_case_0033,2024年8月13日，**近日，扎克伯格在 SPC 黑客松活动上的一场对谈分享，不限于 AI 、AR、创业以及团队管理等经验,AI/AR眼镜,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,1.2961,,,1.0899,,,1.0367,,,0.7321,,,0.7212
pm_case_0037,2025年12月25日，据美国《空天部队》杂志网站12月19日报道，美国太空军下属的太空发展局当天宣布，向4家公司授予价值35亿美元的合同，用于采购总共72颗导,SpaceX,MATCH,导弹,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,1.0584,,,0.8111,,,0.7066,,,0.706,,,0.6826
pm_case_0044,特朗普旗下的媒体企业——特朗普媒体与科技集团，同意以全股票交易方式与核聚变能源企业TAE科技公司合并，交易总价值超60亿美元,可控核聚变,MATCH,A股全球第一,(none),unknown,neighbor_map_incomplete,strengthen_nuclear_fusion_profile_neighbor_map,,,0.8634,,,0.8522,,,0.8498,,,0.8452,,,0.8187
pm_case_0045,国际能源署预测，到 2030年，全球核聚变市场规模有望接近5000亿美元(3.5万亿元人民币),可控核聚变,UNKNOWN,(none),(none),unknown,matcher_recall_gap,review_dense_sparse_recall_for_subject,,,0.6709,,,0.6547,,,0.6473,,,0.6394,,,0.6303
