event_id,assigned_theme
news_000,新合作开发的智能眼相关
news_001,新合作推出专为运动相关
news_002,新英伟达公开了一项相关
news_003,新三星电子宣布将于相关
news_004,新合作计划在相关
news_005,新鸿海宣布合作进军相关
news_006,新谷歌与国眼镜厂商相关
news_007,新三星计划年第三季相关
news_008,新智能眼镜厂商相关
news_009,新云天励飞战略投资相关
news_010,新白宫考虑将部分联相关
news_011,新美国太空军下属的相关
news_012,新正式向员工通报正相关
news_013,新创始人马斯克确认相关
news_014,新马斯克澄亿美元估相关
news_015,新中国科学院合肥物相关
news_016,新可控核聚变创新联相关
news_017,新中信建投研报指出相关
news_018,新特朗普媒体与科技相关
news_019,新国际能源署预测相关
news_020,新中金公司研报表示相关
news_021,新中国国家原子能机相关
news_022,新家公司在京参加核相关
news_023,新中国科学院在合肥相关
news_024,新聚变新能安徽相关
news_025,新中国商务部宣布加相关
news_026,新日本首相高市早苗相关
news_027,FAILED
news_028,新中国外交部依据相关
news_029,新中国外交部发言人相关
news_030,新中国针对日本高市相关
news_031,新中国政府考虑收紧相关
news_032,新商务部新闻发言人相关
news_033,新中国政府通过通用相关
news_034,新内蒙古自治区党委相关
news_035,新中美元首会晤后相关
news_036,新美股稀土股盘前普相关
news_037,新包钢股份公告拟将相关
news_038,新中国商务海关总署相关
news_039,新浙江省人大常委会相关
news_040,新国家发展改革委主相关
news_041,新深圳市海洋发展局相关
news_042,新国家发展改革委正相关
news_043,FAILED
news_044,新日本实际上停止向相关
news_045,新日将在绍兴举行光相关
news_046,新光刻胶及集成电路相关
news_047,新北京大学彭海琳教相关
news_048,新清华大学化学系许相关
news_049,新因下游行业需求相关
news_050,新武汉太紫微光电科相关
news_051,FAILED
news_052,新上交所发布新规相关
news_053,新我国在海南商业航相关
news_054,新中国航天今年已完相关
news_055,新蓝箭航天副总裁张相关
news_056,新文昌国际航天城即相关
news_057,新蓝箭航天的朱雀三相关
news_058,新中国航天科技集团相关
news_059,新国家航天局设立商相关
news_060,新北京市科中关村管相关
news_061,新北京蓝箭航天朱雀相关
news_062,新英伟达首席财务官相关
news_063,新东方证券基于相关
news_064,新谷歌新一因单芯片相关
news_065,新第五届国液冷供应相关
news_066,FAILED
news_067,新英伟达透露其相关
news_068,新微软萨提亚相关
news_069,新英伟达因新平台功相关
news_070,新以数十亿美元收购相关
news_071,新智能体推出文生相关
news_072,新智能体产背后的公相关
news_073,新智能体平宣布向所相关
news_074,新智能体的开发者相关
news_075,新中国团队发布通用相关
