case_id,event_title,gold_theme,wrong_subject_key,wrong_theme_name,source_profile_version,evidence_summary,hit_terms,hit_term_roles,root_cause,fix_action
pm_case_0008,2024年12月10日，10日讯，三星内部正积极推进名为Infinite的扩展现实（XR）项目，计划在明年1月召开的Galaxy Unpacked发布会上公开展,AI/AR眼镜,9032675,金融IT,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0013,"2024年9月26日,近日，西湖大学国强讲席教授、副校长以及慕德微纳(杭州)科技有限公司首席科学家仇旻在浙江省科协大楼的科学咖啡馆展示了一副超轻薄的碳化硅AR眼",AI/AR眼镜,9022064,碳化硅,v1_fallback,"{""anchor_terms"": [""碳化硅""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""碳化硅""], ""subject_name_hits"": [""碳化硅""]}","[""碳化硅""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0014,2024年9月25日，Meta Connect 2024年度开发者大会将于今夜举行，据Meta官网贴出议程显示，公司CEO马克·扎克伯格将于当地时间上午10点（,AI/AR眼镜,9022942,苹果MR,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0015,2024年9月23日，消息面上，Meta Connect 2024将于美国当地时间9月25日开始，扎克伯格将分享混合现实、AI和可穿戴设备的最新发展，新的MR头,AI/AR眼镜,9022942,苹果MR,v1_fallback,"{""anchor_terms"": [""MR"", ""AR眼镜""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""MR""], ""subject_name_hits"": []}","[""MR"", ""AR眼镜"", ""增强现实（AR）"", ""产品代工"", ""整机产品"", ""制造设备""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0019,2024年9月9日，三星、谷歌、高通强强联手，正研发一款混合现实智能眼镜,AI/AR眼镜,9058849,高通,v1_fallback,"{""anchor_terms"": [""高通""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""高通""], ""subject_name_hits"": [""高通""]}","[""高通""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0022,2024年8月29日，《科创板日报》29日讯，Meta此前计划打造自己的定制芯片，用于可穿戴消费设备系列，但由于公司持续努力控制成本，这一计划未能实施,AI/AR眼镜,9036559,ASIC芯片,v1_fallback,"{""anchor_terms"": [""芯片"", ""Meta""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芯片""], ""subject_name_hits"": []}","[""芯片"", ""Meta""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0025,2024年8月20日，AR智能眼镜企业Rokid今日宣布，8月22日，《黑神话：悟空》AR体验将开启直播,AI/AR眼镜,9011554,游戏,v1_fallback,"{""anchor_terms"": [""游戏""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""游戏""], ""subject_name_hits"": [""游戏""]}","[""游戏""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0027,8月23日， 由维深信息主办，深圳市增强现实技术应用协会、深圳市眼镜行业协会协办的《全球AI智能眼镜高峰论坛暨投融资闭门对接会》议题已确定,AI/AR眼镜,9033923,深圳,v1_fallback,"{""anchor_terms"": [], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""深圳""], ""subject_name_hits"": [""深圳""]}","[""深圳""]",{},location_as_anchor,add_location_role_guard_and_v2_boundary
pm_case_0029,2024年8月15日，有“国产版Vision Pro头显”之称的Vision SE，今年7月30日通过了新版本的3C认证，制造商为深圳市亿境虚拟现实技术有限公司,AI/AR眼镜,9022942,苹果MR,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0029,2024年8月15日，有“国产版Vision Pro头显”之称的Vision SE，今年7月30日通过了新版本的3C认证，制造商为深圳市亿境虚拟现实技术有限公司,AI/AR眼镜,9033923,深圳,v1_fallback,"{""anchor_terms"": [], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""深圳""], ""subject_name_hits"": [""深圳""]}","[""深圳""]",{},location_as_anchor,add_location_role_guard_and_v2_boundary
