subject_key,subject_name,concept,semantic_type,strategy_type,source_gate_file,generic_anchor_ratio,must_generic_count,alias_generic_count,anchor_count,negative_count,nearby_overlap_score,nearby_subject_keys,stock_pool_size,recent_heat_score,false_positive_risk,priority_score,must_generic_terms,alias_generic_terms,generic_terms,no_anchor_candidates
9014764,军工9大集团,军工9大集团,国防工业组织结构,industry_chain,subject_gates/9014764_gate.json,0.8571,6,0,1,0,0.0,[],91,0.0,0.7728,68.82,"[""中国核工业集团有限公司"", ""中国航天科技集团有限公司"", ""中国航天科工集团有限公司"", ""中国航空工业集团有限公司"", ""中国航空发动机集团有限公司"", ""中国船舶集团有限公司""]",[],"[""中国核工业集团有限公司"", ""中国航天科技集团有限公司"", ""中国航天科工集团有限公司"", ""中国航空工业集团有限公司"", ""中国航空发动机集团有限公司"", ""中国船舶集团有限公司""]","[""中国核工业集团有限公司"", ""中国航天科技集团有限公司"", ""中国航天科工集团有限公司"", ""中国航空工业集团有限公司"", ""中国航空发动机集团有限公司"", ""中国船舶集团有限公司"", ""国防科研生产任务"", ""生产经营活动""]"
9018216,石油,石油,产业链/供应链,industry_chain,subject_gates/9018216_gate.json,0.6,3,0,2,0,0.2,"[""9064086"", ""9010317""]",56,0.0,0.6375,56.77,"[""上游勘探"", ""上游采油"", ""上游钻井""]",[],"[""上游勘探"", ""上游采油"", ""上游钻井""]","[""上游勘探"", ""上游采油"", ""上游钻井"", ""下游销售""]"
9035331,本源量子,本源量子,公司事件,event_driven,subject_gates/9035331_gate.json,0.75,3,0,1,0,0.1429,"[""9058922"", ""9026027""]",13,0.0,0.6889,52.23,"[""合作"", ""参股"", ""公司""]",[],"[""合作"", ""参股"", ""公司""]","[""合作"", ""参股"", ""公司""]"
129,交通运输,交通运输,产业链/供应链与政策驱动复合型题材,industry_chain,subject_gates/129_gate.json,0.5,2,0,2,8,0.3333,"[""9061633"", ""9042073""]",99,0.0,0.475,51.55,"[""物流行业"", ""供应链行业""]",[],"[""物流行业"", ""供应链行业""]","[""物流行业"", ""供应链行业""]"
9034539,特斯拉,特斯拉,供应链关系,industry_chain,subject_gates/9034539_gate.json,0.6667,2,0,1,2,0.25,"[""9023131"", ""9062206""]",55,0.0,0.5292,50.32,"[""皮卡供应商"", ""一级供应商""]",[],"[""皮卡供应商"", ""一级供应商""]","[""皮卡供应商"", ""一级供应商"", ""间接供应商"", ""第一大客户"", ""生产""]"
9039983,云深处机器人,云深处机器人,公司事件,event_driven,subject_gates/9039983_gate.json,0.6,3,0,2,0,0.0,[],16,0.0,0.6075,48.03,"[""合作"", ""参股"", ""公司""]",[],"[""合作"", ""参股"", ""公司""]","[""合作"", ""参股"", ""公司""]"
9062904,航空发动机集团,航空发动机集团,公司事件,event_driven,subject_gates/9062904_gate.json,0.6667,2,0,1,0,0.0,[],26,0.0,0.5717,47.71,"[""供应商"", ""参股""]",[],"[""供应商"", ""参股""]","[""供应商"", ""参股"", ""关键部件制造""]"
9038372,黄金,黄金,产业链/供应链,industry_chain,subject_gates/9038372_gate.json,0.5,2,0,2,0,0.2,"[""9064086"", ""9010270""]",35,0.0,0.535,47.16,"[""上游资源勘探与开采"", ""下游珠宝首饰制造与投资消费""]",[],"[""上游资源勘探与开采"", ""下游珠宝首饰制造与投资消费""]","[""上游资源勘探与开采"", ""下游珠宝首饰制造与投资消费"", ""上游采矿"", ""下游加工"", ""珠宝首饰制造消费""]"
9012443,中特估,中特估,政策驱动型估值体系改革,policy_driven,subject_gates/9012443_gate.json,0.4,2,0,3,0,0.2,"[""9016149""]",147,0.0,0.395,46.91,"[""央国企"", ""中央企业控股上市公司""]",[],"[""央国企"", ""中央企业控股上市公司""]","[""央国企"", ""中央企业控股上市公司""]"
9059060,乐聚IPO,乐聚IPO,公司事件,event_driven,subject_gates/9059060_gate.json,0.6667,2,0,1,0,0.2,"[""9059201""]",10,0.0,0.6017,46.65,"[""合作商"", ""参股""]",[],"[""合作商"", ""参股""]","[""合作商"", ""参股"", ""公司""]"
9047066,淘宝,淘宝,公司业务优势,industry_chain,subject_gates/9047066_gate.json,0.5,2,0,2,3,0.3333,"[""9021093"", ""9047274"", ""9057161""]",52,0.0,0.475,46.65,"[""供应链优势"", ""跨境物流服务""]",[],"[""供应链优势"", ""跨境物流服务""]","[""供应链优势"", ""跨境物流服务"", ""物流合作商"", ""阿里参股""]"
9061242,太空光伏,太空光伏,产业链/供应链,industry_chain,subject_gates/9061242_gate.json,0.5,3,0,3,0,0.0,[],50,0.0,0.4675,45.87,"[""SpaceX供应链"", ""设备"", ""产品""]",[],"[""SpaceX供应链"", ""设备"", ""产品""]","[""SpaceX供应链"", ""设备"", ""产品""]"
9062142,蓝箭航天IPO,蓝箭航天IPO,公司事件,event_driven,subject_gates/9062142_gate.json,0.5,2,0,2,0,0.25,"[""9036191"", ""9056783""]",21,0.0333,0.5425,45.74,"[""参股"", ""公司""]",[],"[""参股"", ""公司""]","[""参股"", ""公司""]"
9010168,锂电池,锂电池,产业链/供应链,industry_chain,subject_gates/9010168_gate.json,0.4286,3,0,4,8,0.1,"[""9056615""]",164,0.0,0.3739,45.69,"[""上游资源"", ""中游制造"", ""下游应用""]",[],"[""上游资源"", ""中游制造"", ""下游应用""]","[""上游资源"", ""中游制造"", ""下游应用""]"
9064241,金刚石散热,金刚石散热,产业链/供应链,industry_chain,subject_gates/9064241_gate.json,0.6667,2,0,1,0,0.0,[],6,0.0,0.5717,44.21,"[""产品"", ""设备""]",[],"[""产品"", ""设备""]","[""产品"", ""设备""]"
9023196,合成生物,合成生物,产业链/供应链,industry_chain,subject_gates/9023196_gate.json,0.5,3,0,3,1,0.125,"[""9025153""]",58,0.0,0.4062,43.71,"[""合成生物制造产业"", ""生物制造菌种计算设计"", ""合成生物制造技术创新中心""]",[],"[""合成生物制造产业"", ""生物制造菌种计算设计"", ""合成生物制造技术创新中心""]","[""合成生物制造产业"", ""生物制造菌种计算设计"", ""合成生物制造技术创新中心"", ""合成生物制造产业创新发展行动计划"", ""国际合作"", ""新质生产力""]"
9010818,国企改革,国企改革,政策主体,policy_driven,subject_gates/9010818_gate.json,0.3333,1,1,4,0,0.1429,"[""9020774""]",154,0.0,0.3348,43.42,"[""国资国企改革""]","[""国企改革""]","[""国企改革"", ""国资国企改革""]","[""国资国企改革"", ""国企改革""]"
140,风电,风电,产业链/供应链,industry_chain,subject_gates/140_gate.json,0.3333,2,0,4,0,0.125,"[""9064956"", ""9013416"", ""9044138""]",65,0.0,0.3571,42.09,"[""上游"", ""下游""]",[],"[""上游"", ""下游""]","[""上游"", ""下游""]"
9018638,海峡两岸,海峡两岸,产业链/供应链,industry_chain,subject_gates/9018638_gate.json,0.4286,3,0,4,4,0.1667,"[""9061871""]",54,0.0,0.3839,41.72,"[""两岸半导体产业链合作"", ""精密制造"", ""半导体产业链""]",[],"[""两岸半导体产业链合作"", ""精密制造"", ""半导体产业链""]","[""两岸半导体产业链合作"", ""精密制造"", ""半导体产业链"", ""福建制造加工"", ""智能制造"", ""文化IP合作"", ""金融""]"
9050919,钇90,钇90,技术突破,industry_chain,subject_gates/9050919_gate.json,0.5,3,0,3,0,0.0,[],23,0.0,0.4675,41.14,"[""生产技术路径"", ""商用堆生产"", ""辐照生产""]",[],"[""生产技术路径"", ""商用堆生产"", ""辐照生产""]","[""生产技术路径"", ""商用堆生产"", ""辐照生产"", ""批量化生产""]"
9011558,医疗信息化,医疗信息化,医疗供应链管理,industry_chain,subject_gates/9011558_gate.json,0.5,1,0,1,0,0.0,[],30,0.0,0.4425,40.91,"[""SPD医疗供应链""]",[],"[""SPD医疗供应链""]","[""SPD医疗供应链""]"
9058137,培育钻石,培育钻石,产业链/供应链,industry_chain,subject_gates/9058137_gate.json,0.6667,2,0,1,3,0.0,[],13,0.0,0.4917,40.79,"[""设备"", ""产品""]",[],"[""设备"", ""产品""]","[""设备"", ""产品""]"
9036191,宇树机器人,宇树机器人,产业链/供应链,industry_chain,subject_gates/9036191_gate.json,0.4,2,0,3,0,0.25,"[""9062142"", ""9062497"", ""9040224"", ""9056783"", ""9035538"", ""9060591"", ""9041982"", ""9014636"", ""9047427""]",40,0.0,0.4025,40.34,"[""参股"", ""应用""]",[],"[""参股"", ""应用""]","[""参股"", ""应用"", ""本体制造""]"
9026444,染料,染料,产业链/供应链,industry_chain,subject_gates/9026444_gate.json,0.3333,1,0,2,0,0.3333,"[""9049096"", ""9048752""]",27,0.0,0.4258,39.42,"[""产品""]",[],"[""产品""]","[""产品""]"
9048533,中美互降关税,中美互降关税,技术突破,industry_chain,subject_gates/9048533_gate.json,0.25,1,0,3,0,0.125,"[""9019349""]",81,0.0,0.2612,39.15,"[""轻工制造""]",[],"[""轻工制造""]","[""轻工制造""]"
9063773,字节Seedance,字节Seedance,技术合作与接入事件,event_driven,subject_gates/9063773_gate.json,0.5,1,0,1,0,0.0,[],19,0.0,0.4425,38.99,"[""AIDC广告代理合作接入""]",[],"[""AIDC广告代理合作接入""]","[""AIDC广告代理合作接入"", ""合作""]"
9011277,芯片大全,芯片大全,产业链/供应链,industry_chain,subject_gates/9011277_gate.json,0.2857,2,0,5,8,0.125,"[""9062454"", ""9056319"", ""9062339"", ""9055826"", ""9055378"", ""9040800"", ""9028660""]",118,0.0,0.258,38.96,"[""半导体制造"", ""上游关键设备材料零部件""]",[],"[""半导体制造"", ""上游关键设备材料零部件""]","[""半导体制造"", ""上游关键设备材料零部件"", ""先进晶圆制造厂""]"
9055515,麒麟9020,麒麟9020,技术突破与产业链,industry_chain,subject_gates/9055515_gate.json,0.3333,1,0,2,2,0.0,[],64,0.0,0.2958,38.36,"[""麒麟芯片制造""]",[],"[""麒麟芯片制造""]","[""麒麟芯片制造"", ""产业链问题解决""]"
